type,id,attributes.contains_refund,attributes.currency,attributes.date_placed,attributes.deferred_item_count,attributes.deferred_item_total,attributes.deferred_item_total_incl_tax,attributes.has_deferred_payments,attributes.has_interac_payments,attributes.is_past_refund_date,attributes.is_refundable,attributes.location,attributes.net_total,attributes.number,attributes.payment_sources.0.label,attributes.payment_sources.0.amount_allocated,attributes.payment_sources.0.currency,attributes.payment_sources.0.date_created,attributes.refund_subtotal,attributes.refund_total,attributes.refund_total_tax,attributes.should_display_price_include_tax,attributes.status,attributes.subtotal,attributes.subtotal_excl_discounts,attributes.subtotal_incl_tax,attributes.summary.0,attributes.summary_nonrefunded_items.0,attributes.taxes.0.name,attributes.taxes.0.tax,attributes.total,attributes.total_amount_refunded,attributes.total_discount,attributes.total_tax,relationships.billing_address.data,relationships.broker.data.type,relationships.broker.data.id,relationships.cart.data.type,relationships.cart.data.id,relationships.fulfillment_partner.data.type,relationships.fulfillment_partner.data.id,relationships.order_lines.data.0.type,relationships.order_lines.data.0.id,relationships.originating_partner.data.type,relationships.originating_partner.data.id,relationships.parent_order.data,relationships.user.data.type,relationships.user.data.id
orders,21371,,USD,2024-06-28T20:52:30.025176Z,0,0,0,,,,1,Lakewood,35,YEN6-SJCW-55O4,"Visa ending in 8080",35,USD,2024-06-28T20:52:30.277830Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39098,carts,34728,partners,41395,order_lines,21431,partners,1,,users,39098
orders,21370,,USD,2024-06-28T20:52:29.932228Z,0,0,0,,,,1,Lakewood,35,6GTA-9DW5-55O4,"Visa ending in 2266",35,USD,2024-06-28T20:52:30.158485Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39081,carts,34729,partners,41395,order_lines,21430,partners,1,,users,39081
orders,21369,,USD,2024-06-28T20:52:29.828993Z,0,0,0,,,,1,Lakewood,35,PW7U-38QG-55O4,"Visa ending in 0492",35,USD,2024-06-28T20:52:29.911874Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39089,carts,34727,partners,41395,order_lines,21429,partners,1,,users,39089
orders,21368,,USD,2024-06-28T20:52:28.781091Z,0,0,0,,,,1,Lakewood,35,7MVP-FSKX-55O4,"Visa ending in 6215",35,USD,2024-06-28T20:52:29.682729Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39118,carts,34724,partners,41395,order_lines,21428,partners,1,,users,39118
orders,21367,,USD,2024-06-28T20:52:28.674151Z,0,0,0,,,,1,Lakewood,35,AJCU-5HYJ-55O4,"Visa ending in 3855",35,USD,2024-06-28T20:52:28.768786Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39116,carts,34726,partners,41395,order_lines,21426,partners,1,,users,39116
orders,21366,,USD,2024-06-28T20:52:28.667162Z,0,0,0,,,,1,Lakewood,35,RVE7-KKXB-55O4,"Visa ending in 3528",35,USD,2024-06-28T20:52:29.540633Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39106,carts,34725,partners,41395,order_lines,21427,partners,1,,users,39106
orders,21365,,USD,2024-06-28T20:52:28.211025Z,0,0,0,,,,1,Lakewood,35,HZYX-7K53-55O4,"Visa ending in 8289",35,USD,2024-06-28T20:52:28.297066Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39126,carts,34723,partners,41395,order_lines,21425,partners,1,,users,39126
orders,21364,,USD,2024-06-28T20:52:28.015025Z,0,0,0,,,,1,Lakewood,35,YA58-U7DN-55O4,"Visa ending in 7943",35,USD,2024-06-28T20:52:28.150206Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39139,carts,34722,partners,41395,order_lines,21423,partners,1,,users,39139
orders,21363,,USD,2024-06-28T20:52:27.998701Z,0,0,0,,,,1,Lakewood,35,PVFZ-5JKZ-55O4,"Visa ending in 1577",35,USD,2024-06-28T20:52:28.181183Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39146,carts,34720,partners,41395,order_lines,21424,partners,1,,users,39146
orders,21362,,USD,2024-06-28T20:52:27.970155Z,0,0,0,,,,1,Lakewood,35,FU2U-797A-55O4,"Visa ending in 0248",35,USD,2024-06-28T20:52:28.163074Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39143,carts,34721,partners,41395,order_lines,21422,partners,1,,users,39143
orders,21361,,USD,2024-06-28T20:52:27.907110Z,0,0,0,,,,1,Lakewood,35,6PA9-H82K-55O4,"Visa ending in 6382",35,USD,2024-06-28T20:52:28.035833Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39159,carts,34719,partners,41395,order_lines,21421,partners,1,,users,39159
orders,21360,,USD,2024-06-28T20:52:27.745269Z,0,0,0,,,,1,Lakewood,35,5N9G-FB4Q-55O4,"Mastercard ending in 3300",35,USD,2024-06-28T20:52:27.839793Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39145,carts,34718,partners,41395,order_lines,21420,partners,1,,users,39145
orders,21359,,USD,2024-06-28T20:52:27.687878Z,0,0,0,,,,1,Lakewood,35,G9JZ-PHPZ-55O4,"Visa ending in 8040",35,USD,2024-06-28T20:52:27.872622Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39170,carts,34715,partners,41395,order_lines,21419,partners,1,,users,39170
orders,21358,,USD,2024-06-28T20:52:27.660991Z,0,0,0,,,,1,Lakewood,35,7TFR-T7ZZ-55O4,"Visa ending in 8040",35,USD,2024-06-28T20:52:27.816666Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39171,carts,34716,partners,41395,order_lines,21418,partners,1,,users,39171
orders,21357,,USD,2024-06-28T20:52:27.573537Z,0,0,0,,,,1,Lakewood,35,H5H6-XJKJ-55O4,"Visa ending in 8096",35,USD,2024-06-28T20:52:27.665466Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39166,carts,34717,partners,41395,order_lines,21417,partners,1,,users,39166
orders,21356,,USD,2024-06-28T20:52:27.508989Z,0,0,0,,,,1,Lakewood,35,3S6H-FFCE-55O4,"Visa ending in 1785",35,USD,2024-06-28T20:52:27.654725Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39203,carts,34714,partners,41395,order_lines,21416,partners,1,,users,39203
orders,21355,,USD,2024-06-28T20:52:27.474075Z,0,0,0,,,,1,Lakewood,35,NXFU-EVUB-55O4,"Visa ending in 2880",35,USD,2024-06-28T20:52:27.575542Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39211,carts,34713,partners,41395,order_lines,21415,partners,1,,users,39211
orders,21354,,USD,2024-06-28T20:52:27.426820Z,0,0,0,,,,1,Lakewood,35,D3PZ-BN9C-55O4,"American Express ending in 2003",35,USD,2024-06-28T20:52:27.537383Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39253,carts,34711,partners,41395,order_lines,21414,partners,1,,users,39253
orders,21353,,USD,2024-06-28T20:52:27.324843Z,0,0,0,,,,1,Lakewood,35,5JP9-STHH-55O4,"Visa ending in 3367",35,USD,2024-06-28T20:52:27.418480Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39227,carts,34712,partners,41395,order_lines,21413,partners,1,,users,39227
orders,21352,,USD,2024-06-28T20:52:27.117819Z,0,0,0,,,,1,Lakewood,35,RYGK-822N-55O4,"Visa ending in 4752",35,USD,2024-06-28T20:52:27.307114Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39262,carts,34710,partners,41395,order_lines,21412,partners,1,,users,39262
orders,21351,,USD,2024-06-28T20:52:26.793906Z,0,0,0,,,,1,Lakewood,35,5CT3-W2Q7-55O4,"Visa ending in 1518",35,USD,2024-06-28T20:52:26.955686Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39267,carts,34709,partners,41395,order_lines,21411,partners,1,,users,39267
orders,21350,,USD,2024-06-28T20:52:26.240638Z,0,0,0,,,,1,Lakewood,35,QRR5-EWGY-55O4,"Visa ending in 6973",35,USD,2024-06-28T20:52:26.379741Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39273,carts,34708,partners,41395,order_lines,21410,partners,1,,users,39273
orders,21349,,USD,2024-06-28T20:52:25.302030Z,0,0,0,,,,1,Lakewood,35,J7SH-SHT6-55O4,"American Express ending in 4002",35,USD,2024-06-28T20:52:25.437999Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39212,carts,34707,partners,41395,order_lines,21409,partners,1,,users,39212
orders,21348,,USD,2024-06-28T20:52:25.197768Z,0,0,0,,,,1,Lakewood,35,DRPD-QXHJ-55O4,"Visa ending in 9398",35,USD,2024-06-28T20:52:25.377056Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39282,carts,34705,partners,41395,order_lines,21408,partners,1,,users,39282
orders,21347,,USD,2024-06-28T20:52:25.053857Z,0,0,0,,,,1,Lakewood,35,8XGN-GK3Z-55O4,"Visa ending in 5098",35,USD,2024-06-28T20:52:25.203454Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39223,carts,34706,partners,41395,order_lines,21407,partners,1,,users,39223
orders,21346,,USD,2024-06-28T20:52:25.009739Z,0,0,0,,,,1,Lakewood,35,WYM5-MDGV-55O4,"Discover ending in 2758",35,USD,2024-06-28T20:52:25.193115Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39325,carts,34700,partners,41395,order_lines,21406,partners,1,,users,39325
orders,21345,,USD,2024-06-28T20:52:24.997468Z,0,0,0,,,,1,Lakewood,35,Q7US-4QWH-55O4,"Visa ending in 7091",35,USD,2024-06-28T20:52:25.164380Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39294,carts,34704,partners,41395,order_lines,21405,partners,1,,users,39294
orders,21343,,USD,2024-06-28T20:52:24.759382Z,0,0,0,,,,1,Lakewood,35,EG8U-NWVF-55O4,"Visa ending in 9849",35,USD,2024-06-28T20:52:24.874940Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,39324,carts,34701,partners,41395,order_lines,21404,partners,1,,users,39324
orders,21342,,USD,2024-06-28T20:52:24.647323Z,0,0,0,,,,1,Lakewood,35,6ARH-D4GS-55O4,"Visa ending in 3213",35,USD,2024-06-28T20:52:24.739830Z,0,0,0,,Completed,35,35,35,"L1. Pre-Opening VIP Unlimited Membership - Lakewood","L1. Pre-Opening VIP Unlimited Membership - Lakewood","Lakewood Tax - Memberships",0,35,0,0,0,,users,35264,carts,34702,partners,41395,order_lines,21402,partners,1,,users,35264
