type,id,attributes.adjustment_interval_count,attributes.adjustment_is_excluded_from_discounts,attributes.adjustment_renewal_rate,attributes.adjustment_renewal_rate_incl_tax,attributes.billing_cycles.0.id,attributes.billing_cycles.0.end_datetime,attributes.billing_cycles.0.start_datetime,attributes.billing_type,attributes.calculated_end_datetime,attributes.calculated_start_datetime,attributes.cancellation_datetime,attributes.cancellation_reason,attributes.commitment_length,attributes.end_date,attributes.freeze_datetime,attributes.freeze_reactivation_datetime,attributes.guest_usage_interval_limit,attributes.is_intro_offer,attributes.last_interval_remaining_guest_usage_count,attributes.last_interval_remaining_usage_count,attributes.membership_name,attributes.next_charge_date,attributes.next_charge_date_display,attributes.interval_start_date_display,attributes.payment_interval,attributes.payment_interval_end_date,attributes.payment_interval_length,attributes.payment_interval_start_date,attributes.purchase_date,attributes.remaining_renewal_count,attributes.renewal_count,attributes.renewal_currency,attributes.renewal_limit,attributes.renewal_rate,attributes.renewal_rate_incl_tax,attributes.scheduled_end_datetime,attributes.scheduled_start_datetime,attributes.should_display_price_include_tax,attributes.start_date,attributes.status,attributes.usage_interval_limit,relationships.current_membership_transaction.data.type,relationships.current_membership_transaction.data.id,relationships.membership.data.type,relationships.membership.data.id,relationships.membership_freeze.data,relationships.events.data.0.type,relationships.events.data.0.id,relationships.membership_product.data.type,relationships.membership_product.data.id,relationships.purchase_location.data.type,relationships.purchase_location.data.id,relationships.user.data.type,relationships.user.data.id
membership_instances,4565,,,,,70130,"2024-06-18 21:27:40.848157+00:00","2024-06-11 19:16:17.853361+00:00",bill_on_purchase,2024-06-19T06:59:59Z,2024-06-11T07:00:00Z,2024-06-18T21:27:40.848157Z,other,,2024-06-19T06:59:59Z,,,0,,,10,"Orange, CA | Pre-Opening $1 Down VIP Membership",,2024-06-18,2024-06-11,MO,2024-06-18T21:27:40.848157Z,2,2024-06-11T19:16:16.853361Z,2024-06-11T19:16:16.853361Z,0,1,USD,1,1.00,1.00,,,,2024-06-11T07:00:00Z,terminated,10,,,memberships,2919,,membership_instance_events,6874,child_product_memberships,15795,locations,48717,users,40825
membership_instances,4564,,,,,78476,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-11T17:20:08.323651Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78476,memberships,2984,,membership_instance_events,9189,child_product_memberships,15805,locations,48784,users,39642
membership_instances,4563,,,,,70112,"2024-08-11 06:59:59+00:00","2024-06-11 17:11:39.873769+00:00",bill_on_purchase,2024-08-11T06:59:59Z,2024-06-11T07:00:00Z,,,,2024-08-11T06:59:59Z,,,0,,,10,"Orange, CA | Pre-Opening $1 Down VIP Membership",,2024-08-11,2024-06-11,MO,2024-08-11T06:59:59Z,2,2024-06-11T17:11:38.873769Z,2024-06-11T17:11:38.873769Z,0,1,USD,1,1.00,1.00,,,,2024-06-11T07:00:00Z,active,10,membership_transactions,70112,memberships,2919,,membership_instance_events,5931,child_product_memberships,15795,locations,48717,users,39642
membership_instances,4561,,,,,70108,"2024-08-11 06:59:59+00:00","2024-06-11 16:44:26.626768+00:00",bill_on_purchase,2024-08-11T06:59:59Z,2024-06-11T07:00:00Z,,,,2024-08-11T06:59:59Z,,,0,,,10,"Orange, CA | Pre-Opening $1 Down VIP Membership",,2024-08-11,2024-06-11,MO,2024-08-11T06:59:59Z,2,2024-06-11T16:44:25.626768Z,2024-06-11T16:44:25.626768Z,0,1,USD,1,1.00,1.00,,,,2024-06-11T07:00:00Z,active,10,membership_transactions,70108,memberships,2919,,membership_instance_events,5929,child_product_memberships,15795,locations,48717,users,40763
membership_instances,4560,,,,,78473,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-11T16:41:01.039052Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78473,memberships,2984,,membership_instance_events,9186,child_product_memberships,15805,locations,48784,users,40967
membership_instances,4559,,,,,70106,"2024-06-11 16:40:18.992519+00:00","2024-06-11 16:40:19.992519+00:00",bill_on_start,2024-06-12T06:59:59Z,2024-06-11T07:00:00Z,2024-06-11T16:40:18.992519Z,other,0,2024-06-12T06:59:59Z,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",,2024-06-11,2024-06-11,MO,2024-06-11T16:40:18.992519Z,1,2024-06-11T16:40:18.992519Z,2024-06-11T16:31:22.864239Z,0,1,USD,1,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-11T07:00:00Z,terminated,,,,memberships,2984,,membership_instance_events,5927,child_product_memberships,15805,locations,48784,users,40960
membership_instances,4558,,,,,70104,"2024-08-11 06:59:59+00:00","2024-06-11 16:29:54.653024+00:00",bill_on_purchase,2024-08-11T06:59:59Z,2024-06-11T07:00:00Z,,,,2024-08-11T06:59:59Z,,,0,,,10,"Orange, CA | Pre-Opening $1 Down VIP Membership",,2024-08-11,2024-06-11,MO,2024-08-11T06:59:59Z,2,2024-06-11T16:29:53.653024Z,2024-06-11T16:29:53.653024Z,0,1,USD,1,1.00,1.00,,,,2024-06-11T07:00:00Z,active,10,membership_transactions,70104,memberships,2919,,membership_instance_events,5925,child_product_memberships,15795,locations,48717,users,40967
membership_instances,4557,,,,,78474,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-11T15:50:44.083186Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78474,memberships,2984,,membership_instance_events,9187,child_product_memberships,15805,locations,48784,users,40960
membership_instances,4555,,,,,78472,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-11T15:48:52.006650Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78472,memberships,2984,,membership_instance_events,11395,child_product_memberships,15805,locations,48784,users,40945
membership_instances,4554,,,,,69959,"2024-06-25 06:59:59+00:00","2024-06-12 00:15:01+00:00",bill_on_purchase,2024-06-25T06:59:59Z,2024-06-11T07:00:00Z,,,,2024-06-25T06:59:59Z,,,0,,,,"Torrance/Lakewood/Orange | 2 Week Unlimited Pass",,2024-06-25,2024-06-11,WK,2024-06-25T06:59:59Z,2,2024-06-12T00:15:00Z,2024-06-11T05:44:48.065320Z,0,1,USD,1,20.00,20.00,,,,2024-06-11T07:00:00Z,done,,,,memberships,2951,,membership_instance_events,5838,child_product_memberships,15556,locations,48750,users,40963
